subset	n	pearson	spearman	r2	mean_best_iter	sec
ortholog_all	11569	0.730988477506404	0.7205033181981163	0.5329172611236572	1214.8	16.7
ortholog_highconf	11389	0.7296018717086739	0.7191524816489643	0.5308628082275391	985.6	13.9
ortholog_highconf__CDSGC_mid20_80	6894	0.728752975505983	0.7177810430681608	0.5289044380187988	1145.2	15.5
ortholog_highconf__UTR3GC_mid20_80	6788	0.7241449558918461	0.7129382907086587	0.5221743583679199	1303.2	17.3
all	13532	0.7180430198351303	0.708469915632577	0.5145546197891235	948.2	14.2
UTR3GC_mid20_80	8119	0.7178985003736745	0.7072813684634967	0.513310432434082	803.2	11.5
ortholog_highconf__UTR3LEN_low50	5474	0.716561944024486	0.7008642489831008	0.5110355615615845	1010.2	13.7
CDSGC_mid20_80	8118	0.7153727391475542	0.7049620875988634	0.5100382566452026	1207.2	16.6
ortholog_highconf__UTR3GC_mid20_80__CDSGC_mid20_80	4858	0.7015234094102939	0.6923047132263365	0.4892379641532898	913.4	12.7
ortholog_highconf__UTR3LEN_mid20_80	6930	0.6999919274113432	0.6879418653228193	0.4880829453468323	949.0	13.0
UTR3LEN_low50	6767	0.6976023468595498	0.6849209778971845	0.4849996566772461	596.4	8.8
UTR3LEN_mid20_80	8123	0.6940513167591122	0.6847854813050551	0.4802551865577698	1185.2	15.8
