label	source	lambda	setting	setting_description	random_state	n	n_features	n_with_mouse_pc1	n_with_saluki_mouse_prior	target_vs_saluki_pearson	target_vs_saluki_spearman	ortholog_n	ortholog_pearson	ortholog_spearman	pearson_vs_target	spearman_vs_target	pearson_vs_saluki	spearman_vs_saluki	delta_vs_saluki_prior_baseline	delta_vs_saluki_pure_baseline	mean_best_iter	device_used
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	human_only	Compact human sequence and regulatory features only.	13	12307	1802	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.7517408192999043	0.743801155487797	0.7512481159636613	0.7423985396072279	-0.08506018070009569	0.0021758192999042913	1666.2	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	human_only	Compact human sequence and regulatory features only.	42	12307	1802	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.7507081282765284	0.7441885957441624	0.7502659854497207	0.7430426414777513	-0.08609287172347158	0.0011431282765284045	1339.8	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	human_only	Compact human sequence and regulatory features only.	101	12307	1802	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.7507844317929381	0.7440171398704752	0.750747025502175	0.7432453448686984	-0.08601656820706194	0.0012194317929380416	1164.2	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	mask_only	Human features plus mouse-prior availability/confidence indicators, but no mouse values.	13	12307	1806	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.7513477621212148	0.7442656426157379	0.7507187171085891	0.7429594971339597	-0.08545323787878523	0.0017827621212147537	1464.8	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	mask_only	Human features plus mouse-prior availability/confidence indicators, but no mouse values.	42	12307	1806	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.7512215062975381	0.7443548127091373	0.7511193774408087	0.7434699439082844	-0.08557949370246187	0.0016565062975381073	1624.8	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	mask_only	Human features plus mouse-prior availability/confidence indicators, but no mouse values.	101	12307	1806	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.7513621533733348	0.7448841351692619	0.7509753063855563	0.743889402081523	-0.08543884662666523	0.0017971533733347478	1298.0	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	alternate_mouse_saluki_prior	Human features plus the non-matching mouse prior source.	13	12307	1805	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8519169560867744	0.8469786510270547	0.8344160985096927	0.8282098806184451	0.015115956086774407	0.10235195608677439	807.2	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	alternate_mouse_saluki_prior	Human features plus the non-matching mouse prior source.	42	12307	1805	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8507724616816753	0.8460277392345353	0.8336189109711747	0.8275129528514318	0.01397146168167529	0.10120746168167527	736.0	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	alternate_mouse_saluki_prior	Human features plus the non-matching mouse prior source.	101	12307	1805	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8509862686317717	0.8461491623114067	0.8334619891756866	0.8272898005706544	0.01418526863177172	0.1014212686317717	735.2	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	no_direct_mouse_saluki_value	Human features plus all indicators and only the non-matching mouse prior value.	13	12307	1807	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8509647241150271	0.8457206247083674	0.8332739975005412	0.8267316618897678	0.014163724115027088	0.10139972411502707	666.8	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	no_direct_mouse_saluki_value	Human features plus all indicators and only the non-matching mouse prior value.	42	12307	1807	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8513415561992915	0.8462156204455853	0.8340406854662644	0.8275256341103314	0.01454055619929151	0.10177655619929149	995.4	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	no_direct_mouse_saluki_value	Human features plus all indicators and only the non-matching mouse prior value.	101	12307	1807	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8516788218185977	0.8468455148452442	0.8343275768724562	0.82810153338649	0.014877821818597647	0.10211382181859763	834.2	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	direct_mouse_saluki_prior	Human features plus the same mouse prior source used in label regularization.	13	12307	1805	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8527939131090745	0.8483565057999403	0.8342917015489841	0.82883591953715	0.01599291310907447	0.10322891310907445	591.4	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	direct_mouse_saluki_prior	Human features plus the same mouse prior source used in label regularization.	42	12307	1805	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8533636668471108	0.8489924802138863	0.8353271203772825	0.8298748343044364	0.01656266684711083	0.10379866684711081	1068.4	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	direct_mouse_saluki_prior	Human features plus the same mouse prior source used in label regularization.	101	12307	1805	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8535903559011778	0.849349417457976	0.8352791746600026	0.8300498959238622	0.016789355901177805	0.10402535590117779	781.0	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	both_mouse_priors	Human features plus both mouse prior values and their indicators.	13	12307	1808	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8538794425347436	0.8490589617897542	0.8353094562225915	0.8293282095010549	0.017078442534743554	0.10431444253474353	900.0	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	both_mouse_priors	Human features plus both mouse prior values and their indicators.	42	12307	1808	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.8535980327079343	0.8486496385320901	0.835044559134507	0.8288886286985738	0.016797032707934312	0.10403303270793429	797.8	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	both_mouse_priors	Human features plus both mouse prior values and their indicators.	101	12307	1808	11068	10682	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	0.854021682851625	0.8492853292598855	0.8352754801747478	0.8293705987587978	0.017220682851625035	0.10445668285162502	678.4	cuda
