training_target	evaluation_target	random_state	cv_splits	n	n_features	mean_best_iteration	device_used	pearson	spearman	r2	rmse	mae
human_no_gejman_pc1	human_no_gejman_pc1	13	10	12307	1802	1607.4	cuda:0	0.7481615877395982	0.7399810396030254	0.5580660826758602	0.6680968191521107	0.5258343459477878
human_no_gejman_pc1	orthoreg_reconstructed_mouse_pc1_0.10	13	10	12307	1802	1607.4	cuda:0	0.7538092305501759	0.7460256849767565	0.5660615495882877	0.6619486260292772	0.5213261995879891
human_no_gejman_pc1	saluki_human_pc1	13	10	12307	1802	1607.4	cuda:0	0.7536807455210698	0.7451197093296071	0.5649575005011621	0.6713734962523622	0.5271758986950372
orthoreg_reconstructed_mouse_pc1_0.10	human_no_gejman_pc1	13	10	12307	1802	1753.3	cuda:0	0.748193190089967	0.7405343620791572	0.5585699943223073	0.6677158144603966	0.524911004421969
orthoreg_reconstructed_mouse_pc1_0.10	orthoreg_reconstructed_mouse_pc1_0.10	13	10	12307	1802	1753.3	cuda:0	0.7539842280561452	0.7466468893665723	0.5668373464884262	0.6613566441212135	0.520123302154152
orthoreg_reconstructed_mouse_pc1_0.10	saluki_human_pc1	13	10	12307	1802	1753.3	cuda:0	0.7537273491665719	0.7455819759034629	0.5656505672500997	0.6708385001142602	0.5261162675531724
human_no_gejman_pc1	human_no_gejman_pc1	42	10	12307	1802	1324.2	cuda:0	0.7464604835005872	0.737897752149888	0.5554462648189425	0.6700741573951428	0.527285268609493
human_no_gejman_pc1	orthoreg_reconstructed_mouse_pc1_0.10	42	10	12307	1802	1324.2	cuda:0	0.7520542992678525	0.7438471179538533	0.5633366828014209	0.6640236888790179	0.5228806033679043
human_no_gejman_pc1	saluki_human_pc1	42	10	12307	1802	1324.2	cuda:0	0.7513193489886919	0.7425185224346015	0.5613759495396322	0.6741314218476221	0.5290199339900253
orthoreg_reconstructed_mouse_pc1_0.10	human_no_gejman_pc1	42	10	12307	1802	1465.9	cuda:0	0.746856220289188	0.7394204624239904	0.5565465560039926	0.6692444112989007	0.5257239062653128
orthoreg_reconstructed_mouse_pc1_0.10	orthoreg_reconstructed_mouse_pc1_0.10	42	10	12307	1802	1465.9	cuda:0	0.7527153053095395	0.7457063399419027	0.5648916608126839	0.6628403250981157	0.5209551930806158
orthoreg_reconstructed_mouse_pc1_0.10	saluki_human_pc1	42	10	12307	1802	1465.9	cuda:0	0.7518349368901588	0.7442134434790516	0.5628218284823914	0.6730194023255626	0.5274900935352081
human_no_gejman_pc1	human_no_gejman_pc1	101	10	12307	1802	1514.7	cuda:0	0.7482269034872013	0.7404829999769431	0.5581204513188264	0.6680557217920287	0.524762055911942
human_no_gejman_pc1	orthoreg_reconstructed_mouse_pc1_0.10	101	10	12307	1802	1514.7	cuda:0	0.753778196418206	0.7464249905654974	0.5659746203091007	0.6620149255647572	0.5201572717175885
human_no_gejman_pc1	saluki_human_pc1	101	10	12307	1802	1514.7	cuda:0	0.7537966116254832	0.7457531179086486	0.5650683844148832	0.6712879307442333	0.525664904045822
orthoreg_reconstructed_mouse_pc1_0.10	human_no_gejman_pc1	101	10	12307	1802	1645.4	cuda:0	0.7488572002860225	0.7412171168952747	0.559352845595591	0.6671234735126405	0.5239134261077506
orthoreg_reconstructed_mouse_pc1_0.10	orthoreg_reconstructed_mouse_pc1_0.10	101	10	12307	1802	1645.4	cuda:0	0.7545860526271343	0.7472857154464979	0.5675064075713864	0.6608456824913533	0.5192084223085185
orthoreg_reconstructed_mouse_pc1_0.10	saluki_human_pc1	101	10	12307	1802	1645.4	cuda:0	0.7544366003787425	0.746389468186477	0.5664212199075986	0.6702431119838249	0.524639369426599
