coverage_group	coverage_description	setting	setting_label	n_random_states	cv_splits	n	n_with_mouse_pc1	n_with_saluki_mouse_prior	pearson_mean	pearson_sd	spearman_mean	spearman_sd	r2_mean	r2_sd	delta_vs_human_only_pearson_mean	delta_vs_human_only_pearson_sd	delta_vs_human_only_r2_mean	delta_vs_human_only_r2_sd
all_genes	All genes in the global common human gene universe.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	12916	11569	11107	0.8299577888066603	0.0007480413241800524	0.8236491136038616	0.0008369336994792052	0.6886789224490033	0.0011968267584246703	0.08212774784358971	0.0006138337964793779	0.13112172610746556	0.0008280605401650223
all_genes	All genes in the global common human gene universe.	coverage_aware_fallback	coverage_aware_fallback	3	10	12916	11569	11107	0.8318072031108926	0.0008266020852200154	0.8248997306778434	0.0009925257901019333	0.6918844631286101	0.0013665661741967248	0.08397716214782196	0.0006468948686489111	0.1343272667870722	0.0008834897413010735
all_genes	All genes in the global common human gene universe.	compact_all_global	human_only	3	10	12916	11569	11107	0.7478300409630707	0.0011954089613609433	0.7399621745710764	0.0010405299787516443	0.5575571963415378	0.0016832857247272889	0.0	0.0	0.0	0.0
all_genes	All genes in the global common human gene universe.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	12916	11569	11107	0.7483021983898203	0.0010182672353456178	0.7405466579351169	0.0009667052653299816	0.5582916016051935	0.001440073151317576	0.0004721574267496272	0.00019231667598721192	0.0007344052636557944	0.00030357522384642376
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	11569	11569	11107	0.8393621312262257	0.0009052072387180871	0.8308189022467517	0.0010385594978413245	0.704490360981687	0.0014934547980858814	0.09541612448771075	0.0007459657591042078	0.15352098082717688	0.00100972955736749
has_any_mouse_prior	Genes with at least one mouse prior value available.	coverage_aware_fallback	coverage_aware_fallback	3	10	11569	11569	11107	0.8393621312262257	0.0009052072387180871	0.8308189022467517	0.0010385594978413245	0.704490360981687	0.0014934547980858814	0.09541612448771075	0.0007459657591042078	0.15352098082717688	0.00100972955736749
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_global	human_only	3	10	11569	11569	11107	0.743946006738515	0.0013196749350852237	0.7349241474387597	0.0010885555436678576	0.5509693801545102	0.001824373356310912	0.0	0.0	0.0	0.0
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	11569	11569	11107	0.7441421881058958	0.0009021770875419964	0.7353961236867863	0.0008050312763591537	0.5513148631477697	0.0012686809378555323	0.00019618136738082845	0.0004963533652567437	0.0003454829932594272	0.0007187855543123572
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	1347	0	0	0.7554976258231791	0.0012847910001818025	0.7536593577236931	0.0012581721649697571	0.5650364614597989	0.0015746500905566528	-0.014050246600413133	0.0011017494927985482	-0.026428565380066476	0.0016027737047615408
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	3	10	1347	0	0	0.7695478724235922	0.0005596118616425098	0.7682142487761258	0.0007545404868770646	0.5914650268398655	0.0007465002194917638	0.0	0.0	0.0	0.0
