coverage_group	coverage_description	setting	setting_label	random_state	cv_splits	n	n_with_mouse_pc1	n_with_saluki_mouse_prior	pearson	spearman	r2	delta_vs_human_only_pearson	delta_vs_human_only_r2
all_genes	All genes in the global common human gene universe.	compact_all_global	human_only	13	10	12916	11569	11107	0.7477664181069626	0.7399909565191728	0.5574768129299543	0.0	0.0
all_genes	All genes in the global common human gene universe.	compact_all_plus_both_mouse_priors_global	real_both_priors	13	10	12916	11569	11107	0.8295479912405602	0.8230885374342488	0.6879946668450245	0.08178157313359757	0.1305178539150702
all_genes	All genes in the global common human gene universe.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	13	10	12916	11569	11107	0.7481684616748394	0.74075114166917	0.5580297636456704	0.0004020435678767642	0.0005529507157160385
all_genes	All genes in the global common human gene universe.	coverage_aware_fallback	coverage_aware_fallback	13	10	12916	11569	11107	0.8312782819697756	0.8240828018370144	0.6910037883264423	0.08351186386281295	0.13352697539648795
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_global	human_only	13	10	11569	11569	11107	0.7438560421444448	0.7350687062188918	0.550850071011697	0.0	0.0
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_plus_both_mouse_priors_global	real_both_priors	13	10	11569	11569	11107	0.8387425818101693	0.8299970345274058	0.7034564086531028	0.09488653966572447	0.15260633764140574
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	13	10	11569	11569	11107	0.7438286441920042	0.7355234365627732	0.5508022648372848	-2.739795244055543e-05	-4.7806174412245994e-05
has_any_mouse_prior	Genes with at least one mouse prior value available.	coverage_aware_fallback	coverage_aware_fallback	13	10	11569	11569	11107	0.8387425818101693	0.8299970345274058	0.7034564086531028	0.09488653966572447	0.15260633764140574
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_global	human_only	13	10	1347	0	0	0.7697004900093298	0.767416603130857	0.591662975125808	0.0	0.0
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	13	10	1347	0	0	0.7569103439797664	0.7551001241249834	0.5668538175586771	-0.01279014602956341	-0.02480915756713087
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	13	10	1347	0	0	0.7728686254578465	0.770767170486054	0.5965667288718408	0.0031681354485166846	0.004903753746032802
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	13	10	1347	0	0	0.7697004900093298	0.767416603130857	0.591662975125808	0.0	0.0
