	study_effect
Akimitsu	1.4933929822933315e-19
Akimitsu2	1.4933929822933315e-19
Bazzini	-5.035842427093704e-18
Cramer	1.4933929822933315e-19
Cramer2	1.3976490565757432e-17
Darnell	1.4933929822933315e-19
Dieterich	-1.5790546102116793e-18
Gejman	8.406968616057382e-19
He	1.8777332066703457e-18
Jaffrey	1.8777332066703457e-18
Marks	-1.3677811969298766e-17
Mortazavi	3.606127115111358e-18
Oberdoerffer	1.4933929822933315e-19
Rinn	-7.14857655991173e-19
Rissland	1.661683968115219e-18
Rissland2	-5.708248302877553e-19
Shendure	1.4933929822933315e-19
Simon	-3.3074485186526916e-18
Zimmer	1.4933929822933315e-19
