	study_effect
Akimitsu	5.292282901308819e-19
Akimitsu2	5.292282901308819e-19
Bazzini	5.292282901308819e-19
Cramer	-3.071190943515433e-18
Cramer2	5.292282901308819e-19
Darnell	5.292282901308819e-19
Dieterich	-3.9712957519270115e-18
He	-3.708765182806968e-19
Jaffrey	-3.071190943515433e-18
Marks	5.292282901308819e-19
Mortazavi	-1.2709813266922756e-18
Oberdoerffer	2.3294379069540392e-18
Rinn	-6.709114544178896e-19
Rissland	7.542544922337766e-19
Rissland2	9.792806943366713e-19
Shendure	4.129647523777197e-18
Simon	5.292282901308819e-19
Zimmer	5.292282901308819e-19
