sample_id	study	method	cell_type	replicate	species
Mattick_ActD_Neuro2a_1	Mattick	ActD	Neuro2a	1	mouse
Bartel2_5EU_3T3_1	Bartel2	5EU	3T3	1	mouse
Bartel2_5EU_3T3_2	Bartel2	5EU	3T3	2	mouse
Regev_4sU_Dendritic_1	Regev	4sU	Dendritic	1	mouse
Regev2_4sU_Dendritic_1	Regev2	4sU	Dendritic	1	mouse
Selbach_4sU_3T3_1	Selbach	4sU	3T3	1	mouse
Selbach_4sU_3T3_2	Selbach	4sU	3T3	2	mouse
Bartel_ActD_3T3_1	Bartel	ActD	3T3	1	mouse
Hu_ActD_mESC_1	Hu	ActD	mESC	1	mouse
Ko_ActD_mESC_MC1.LIFpos	Ko	ActD	mESC	MC1.LIFpos	mouse
Ko_ActD_mESC_MC2.LIFpos	Ko	ActD	mESC	MC2.LIFpos	mouse
Ko_ActD_mESC_MC1.LIFneg	Ko	ActD	mESC	MC1.LIFneg	mouse
Ko_ActD_mESC_MC1.RApos	Ko	ActD	mESC	MC1.RApos	mouse
Darnell_ActD_mESC_1	Darnell	ActD	mESC	1	mouse
Dolken_4sU_M2-10B4_1	Dolken	4sU	M2-10B4	1	mouse
Hanna_ActD_EB_1	Hanna	ActD	EB	1	mouse
Hanna_ActD_mESC_1	Hanna	ActD	mESC	1	mouse
Ameres_4sU_mESC_1	Ameres	4sU	mESC	1	mouse
Koszinowski_4sU_3T3_1	Koszinowski	4sU	3T3	1	mouse
Rissland2_4sU_3T3_1	Rissland2	4sU	3T3	1	mouse
Rissland2_4sU_3T3_2	Rissland2	4sU	3T3	2	mouse
Simon_4sU_MEF_1	Simon	4sU	MEF	1	mouse
Simon_4sU_MEF_2	Simon	4sU	MEF	2	mouse
Wilusz_ActD_C2C12_1	Wilusz	ActD	C2C12	1	mouse
Wilusz_ActD_C2C12_2	Wilusz	ActD	C2C12	2	mouse
Wilusz_ActD_C2C12_3	Wilusz	ActD	C2C12	3	mouse
Zimmer_ActD_3T3_1	Zimmer	ActD	3T3	1	mouse
