	study_effect
Ameres	1.9027235749694123e-18
Bartel	-1.4506726176332667e-18
Bartel2	1.9027235749694123e-18
Darnell	-1.4506726176332667e-18
Dolken	2.260254786680728e-19
Hanna	-2.7081961898592713e-18
Hu	3.579421671270752e-18
Ko	1.6438216630405223e-20
Koszinowski	1.9027235749694123e-18
Mattick	-1.4506726176332667e-18
Regev	2.260254786680728e-19
Regev2	-1.4506726176332667e-18
Rissland2	-1.4506726176332667e-18
Selbach	6.452000027434075e-19
Simon	-6.123235694825973e-19
Wilusz	7.849248441018525e-19
Zimmer	-6.123235694825973e-19
