sample_id	PC1	PC2	explained_variance_ratio_PC1	explained_variance_ratio_PC2	study	method	cell_type	replicate	species
Bazzini_ActD_HEK293_1	-104.18965290672817	-7.469457132341186	0.9123890673434166	0.02883647014000129	Bazzini	ActD	HEK293	1	human
Bazzini_ActD_HeLa_1	-102.25157182613852	-16.330557520922167	0.9123890673434166	0.02883647014000129	Bazzini	ActD	HeLa	1	human
Bazzini_ActD_RPE_1	-101.31089655834586	-17.14723129765758	0.9123890673434166	0.02883647014000129	Bazzini	ActD	RPE	1	human
Bazzini_4sU_K562_1	27.184889779697592	1.6815110317006319	0.9123890673434166	0.02883647014000129	Bazzini	4sU	K562	1	human
Akimitsu_BrU_HeLa_1	-11.030544668599951	6.8514454731472	0.9123890673434166	0.02883647014000129	Akimitsu	BrU	HeLa	1	human
Rinn_ActD_K562_1	-12.704226883318306	23.22121566233983	0.9123890673434166	0.02883647014000129	Rinn	ActD	K562	1	human
Rinn_ActD_K562_2	-13.882502894557978	22.511346902120298	0.9123890673434166	0.02883647014000129	Rinn	ActD	K562	2	human
Rinn_ActD_K562_3	-12.944176306540843	21.89497148626193	0.9123890673434166	0.02883647014000129	Rinn	ActD	K562	3	human
Rinn_ActD_H1ESC_1	-1.846635472427141	19.955436429235206	0.9123890673434166	0.02883647014000129	Rinn	ActD	H1ESC	1	human
Rinn_ActD_H1ESC_2	0.936995387091919	19.3736953064678	0.9123890673434166	0.02883647014000129	Rinn	ActD	H1ESC	2	human
Rinn_ActD_H1ESC_3	0.4812967915036853	19.19106745420339	0.9123890673434166	0.02883647014000129	Rinn	ActD	H1ESC	3	human
Akimitsu2_BrU4sU_HeLa_1	-416.3467434991724	-19.8208723191349	0.9123890673434166	0.02883647014000129	Akimitsu2	BrU4sU	HeLa	1	human
Jaffrey_ActD_HEK293_1	28.93028206422933	-12.7678536389222	0.9123890673434166	0.02883647014000129	Jaffrey	ActD	HEK293	1	human
Cramer_4sU_K562_1	214.2263160124131	-9.720629261605849	0.9123890673434166	0.02883647014000129	Cramer	4sU	K562	1	human
Shendure_4sU_A549_1	-27.562821508446838	20.80944365800874	0.9123890673434166	0.02883647014000129	Shendure	4sU	A549	1	human
Cramer2_4sU_K562_1	73.05439807210738	-11.4498400640214	0.9123890673434166	0.02883647014000129	Cramer2	4sU	K562	1	human
Oberdoerffer_BrU_HeLa_1	-28.596198901717898	-1.462718861388564	0.9123890673434166	0.02883647014000129	Oberdoerffer	BrU	HeLa	1	human
Dieterich_4sU_HEK293_1	142.5157449302071	1.7314996891664678	0.9123890673434166	0.02883647014000129	Dieterich	4sU	HEK293	1	human
Dieterich_4sU_HEK293_2	135.80639049776218	1.5579491557419902	0.9123890673434166	0.02883647014000129	Dieterich	4sU	HEK293	2	human
Dieterich_4sU_MCF7_1	239.41115724397997	-10.615459282293685	0.9123890673434166	0.02883647014000129	Dieterich	4sU	MCF7	1	human
Dieterich_4sU_MCF7_2	229.51568965892656	-13.8437747761527	0.9123890673434166	0.02883647014000129	Dieterich	4sU	MCF7	2	human
He_ActD_HeLa_1	-19.346088284098013	-0.09583373313484451	0.9123890673434166	0.02883647014000129	He	ActD	HeLa	1	human
He_ActD_HeLa_2	2.228490888687248	8.49812182853533	0.9123890673434166	0.02883647014000129	He	ActD	HeLa	2	human
Marks_ActD_HeLa_1	-104.08872615657181	-11.337227967259183	0.9123890673434166	0.02883647014000129	Marks	ActD	HeLa	1	human
Darnell_ActD_HepG2_1	-103.88484328347624	-11.297479576807941	0.9123890673434166	0.02883647014000129	Darnell	ActD	HepG2	1	human
Mortazavi_4sU_GM12878_1	0.9099021971148414	8.95809965531749	0.9123890673434166	0.02883647014000129	Mortazavi	4sU	GM12878	1	human
Rissland2_ActD_HEK293_1	42.620292029910985	34.413819392121404	0.9123890673434166	0.02883647014000129	Rissland2	ActD	HEK293	1	human
Rissland2_ActD_HEK293_2	19.85967894212442	32.10687991046283	0.9123890673434166	0.02883647014000129	Rissland2	ActD	HEK293	2	human
Rissland2_Aman_HEK293_1	42.28010106218527	20.438277197577193	0.9123890673434166	0.02883647014000129	Rissland2	Aman	HEK293	1	human
Rissland2_Aman_HEK293_2	24.696518889969546	14.592494433106463	0.9123890673434166	0.02883647014000129	Rissland2	Aman	HEK293	2	human
Rissland2_4sU_HEK293_1	-26.665025690912405	10.868809701934135	0.9123890673434166	0.02883647014000129	Rissland2	4sU	HEK293	1	human
Rissland2_4sU_HEK293_2	64.48296533419152	-7.960885140106507	0.9123890673434166	0.02883647014000129	Rissland2	4sU	HEK293	2	human
Zimmer_ActD_Bcell_1	208.18123270073568	-11.70026180646785	0.9123890673434166	0.02883647014000129	Zimmer	ActD	Bcell	1	human
Gejman_4sU_GM07029_1	-10.031787880868942	-15.677192373805516	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM07029	1	human
Gejman_4sU_GM07029_2	-9.781831011706853	-15.87295587754845	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM07029	2	human
Gejman_4sU_GM07029_3	-9.571089607138157	-16.974495236482944	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM07029	3	human
Gejman_4sU_GM10835_1	-9.618066464256344	-13.39314292556796	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM10835	1	human
Gejman_4sU_GM10835_2	-9.745237204014416	-10.863555231003646	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM10835	2	human
Gejman_4sU_GM10835_3	-9.642974726765615	-12.012510220530949	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM10835	3	human
Gejman_4sU_GM12813_1	-10.257372528833317	-16.210735900186453	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM12813	1	human
Gejman_4sU_GM12813_2	-10.125624248484318	-13.942272955203467	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM12813	2	human
Gejman_4sU_GM12813_3	-10.167139598831719	-16.356159598289633	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM12813	3	human
Gejman_4sU_GM12813_4	-10.418222886479438	-16.559973400201248	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM12813	4	human
Gejman_4sU_GM12813_5	-10.582211628594695	-16.95360631933973	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM12813	5	human
Gejman_4sU_GM07019_1	-9.87737787264458	-20.65938089081984	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM07019	1	human
Gejman_4sU_GM12812_1	-10.149823549755949	-24.61834820841932	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM12812	1	human
Gejman_4sU_GM12814_1	-10.648520012582694	-20.943141992573214	0.9123890673434166	0.02883647014000129	Gejman	4sU	GM12814	1	human
