sample_id	PC1	PC2	explained_variance_ratio_PC1	explained_variance_ratio_PC2	study	method	cell_type	replicate	species
Mattick_ActD_Neuro2a_1	-40.53339470986936	0.15969908362716354	0.9160474004070961	0.02057941122791865	Mattick	ActD	Neuro2a	1	mouse
Bartel2_5EU_3T3_1	-97.15977542047806	-16.02875420631846	0.9160474004070961	0.02057941122791865	Bartel2	5EU	3T3	1	mouse
Bartel2_5EU_3T3_2	-92.47301626067704	-22.72610279261206	0.9160474004070961	0.02057941122791865	Bartel2	5EU	3T3	2	mouse
Regev_4sU_Dendritic_1	66.86407197706068	-23.987200456718323	0.9160474004070961	0.02057941122791865	Regev	4sU	Dendritic	1	mouse
Regev2_4sU_Dendritic_1	136.63636520126954	11.720857384846225	0.9160474004070961	0.02057941122791865	Regev2	4sU	Dendritic	1	mouse
Selbach_4sU_3T3_1	-15.446675561191233	4.203325850383513	0.9160474004070961	0.02057941122791865	Selbach	4sU	3T3	1	mouse
Selbach_4sU_3T3_2	-6.840891324973667	1.4172998967359072	0.9160474004070961	0.02057941122791865	Selbach	4sU	3T3	2	mouse
Bartel_ActD_3T3_1	-88.58383295627169	-18.702136386114365	0.9160474004070961	0.02057941122791865	Bartel	ActD	3T3	1	mouse
Hu_ActD_mESC_1	-20.013445095440215	3.1258854241142684	0.9160474004070961	0.02057941122791865	Hu	ActD	mESC	1	mouse
Ko_ActD_mESC_MC1.LIFpos	-24.391041499104333	15.195338200803892	0.9160474004070961	0.02057941122791865	Ko	ActD	mESC	MC1.LIFpos	mouse
Ko_ActD_mESC_MC2.LIFpos	-22.001465359617647	14.10113406550043	0.9160474004070961	0.02057941122791865	Ko	ActD	mESC	MC2.LIFpos	mouse
Ko_ActD_mESC_MC1.LIFneg	-38.201793219563264	15.7121614135873	0.9160474004070961	0.02057941122791865	Ko	ActD	mESC	MC1.LIFneg	mouse
Ko_ActD_mESC_MC1.RApos	-12.853660129183064	11.933640126828976	0.9160474004070961	0.02057941122791865	Ko	ActD	mESC	MC1.RApos	mouse
Darnell_ActD_mESC_1	-43.58484508829653	0.8939948893802421	0.9160474004070961	0.02057941122791865	Darnell	ActD	mESC	1	mouse
Dolken_4sU_M2-10B4_1	-94.40504584992188	-13.701004304089345	0.9160474004070961	0.02057941122791865	Dolken	4sU	M2-10B4	1	mouse
Hanna_ActD_EB_1	-51.079294702913145	35.57777957847908	0.9160474004070961	0.02057941122791865	Hanna	ActD	EB	1	mouse
Hanna_ActD_mESC_1	-50.83999894003839	13.065416515685275	0.9160474004070961	0.02057941122791865	Hanna	ActD	mESC	1	mouse
Ameres_4sU_mESC_1	-62.91083362079334	2.208985485188046	0.9160474004070961	0.02057941122791865	Ameres	4sU	mESC	1	mouse
Koszinowski_4sU_3T3_1	166.46958649434615	-4.956258325329483	0.9160474004070961	0.02057941122791865	Koszinowski	4sU	3T3	1	mouse
Rissland2_4sU_3T3_1	-57.92663629706274	-15.092554278192289	0.9160474004070961	0.02057941122791865	Rissland2	4sU	3T3	1	mouse
Rissland2_4sU_3T3_2	-63.2254349425466	6.688462561813927	0.9160474004070961	0.02057941122791865	Rissland2	4sU	3T3	2	mouse
Simon_4sU_MEF_1	-76.43867908381606	-3.5726950498556107	0.9160474004070961	0.02057941122791865	Simon	4sU	MEF	1	mouse
Simon_4sU_MEF_2	-71.21053767565203	-4.083154455979186	0.9160474004070961	0.02057941122791865	Simon	4sU	MEF	2	mouse
Wilusz_ActD_C2C12_1	157.8617427241244	3.5254307724798726	0.9160474004070961	0.02057941122791865	Wilusz	ActD	C2C12	1	mouse
Wilusz_ActD_C2C12_2	154.6517116422062	4.138093306350404	0.9160474004070961	0.02057941122791865	Wilusz	ActD	C2C12	2	mouse
Wilusz_ActD_C2C12_3	167.84669765446935	1.0800478111158318	0.9160474004070961	0.02057941122791865	Wilusz	ActD	C2C12	3	mouse
Zimmer_ActD_3T3_1	179.79012204393365	-21.89769211171123	0.9160474004070961	0.02057941122791865	Zimmer	ActD	3T3	1	mouse
