sample_id	PC1	PC2	study	method	cell_type	replicate	species
Bazzini_ActD_HEK293_1	-51.636645074337686	-13.82176769507428	Bazzini	ActD	HEK293	1	human
Bazzini_ActD_HeLa_1	133.70762602754132	-67.52624294379288	Bazzini	ActD	HeLa	1	human
Bazzini_ActD_RPE_1	135.067181888078	-70.92131656516058	Bazzini	ActD	RPE	1	human
Bazzini_4sU_K562_1	-42.98090791920045	-25.179974516715774	Bazzini	4sU	K562	1	human
Akimitsu_BrU_HeLa_1	-40.121369288123255	-7.415379515127901	Akimitsu	BrU	HeLa	1	human
Rinn_ActD_K562_1	-51.24632602845893	-16.044321917840417	Rinn	ActD	K562	1	human
Rinn_ActD_K562_2	-51.8393451146998	-15.909488156342192	Rinn	ActD	K562	2	human
Rinn_ActD_K562_3	-52.95047471343429	-12.073219152086905	Rinn	ActD	K562	3	human
Rinn_ActD_H1ESC_1	-51.01368271236097	-20.984368226515137	Rinn	ActD	H1ESC	1	human
Rinn_ActD_H1ESC_2	-51.53499484330628	-20.476349774523857	Rinn	ActD	H1ESC	2	human
Rinn_ActD_H1ESC_3	-51.41319785676881	-22.49828788373515	Rinn	ActD	H1ESC	3	human
Akimitsu2_BrU4sU_HeLa_1	125.64275794538841	-67.5949435530545	Akimitsu2	BrU4sU	HeLa	1	human
Jaffrey_ActD_HEK293_1	-3.203731282190159	-39.97718118673323	Jaffrey	ActD	HEK293	1	human
Cramer_4sU_K562_1	-39.959575960083946	4.006933754493198	Cramer	4sU	K562	1	human
Shendure_4sU_A549_1	-44.21845782627959	-19.846047651859603	Shendure	4sU	A549	1	human
Cramer2_4sU_K562_1	35.69505644817381	-58.67909689111383	Cramer2	4sU	K562	1	human
Oberdoerffer_BrU_HeLa_1	-33.55216285837369	-3.2241787518084117	Oberdoerffer	BrU	HeLa	1	human
Dieterich_4sU_HEK293_1	-61.77091869859303	4.967860664960401	Dieterich	4sU	HEK293	1	human
Dieterich_4sU_HEK293_2	-61.13969474689524	6.790442730664576	Dieterich	4sU	HEK293	2	human
