study	n_samples_removed	pc1_stability_pearson	pc1_stability_spearman	saluki_reference_pc1_pearson	saluki_reference_pc1_spearman	delta_saluki_reference_pc1_pearson	delta_saluki_reference_pc1_spearman
Gejman	15	0.9550487491223754	0.9568225443613033	0.9829433018786946	0.9859191106138349	0.03492004229154977	0.03593141975077874
Rinn	6	0.9730059914698808	0.9733373038230504	0.9114048613214213	0.9142412313358999	-0.03661839826572355	-0.03574645952715627
Dieterich	4	0.9742266031848651	0.9772656496458484	0.9377240226855574	0.9397394271479792	-0.010299236901587405	-0.010248263715076922
Rissland2	6	0.9752145314282962	0.9756010268053664	0.9198841156684547	0.9218759693119133	-0.0281391439186901	-0.028111721551142832
Bazzini	4	0.9875738182696859	0.9862416509811158	0.9292504169578016	0.9299176382922051	-0.0187728426293432	-0.020070052570851038
Rissland	4	0.9880255454605867	0.9883182594101358	0.9296265840046858	0.9319743870905882	-0.018396675582459054	-0.018013303772467903
Oberdoerffer	1	0.9920246805116522	0.9914843517831757	0.9439403244196652	0.9443766137671746	-0.0040829351674795955	-0.005611077095881489
Akimitsu	1	0.9921366977094138	0.9914055484744221	0.9420517350414852	0.9433684127181321	-0.005971524545659634	-0.0066192781449240234
Shendure	1	0.99413503679416	0.9931752890805005	0.9409032330788017	0.9428573205816398	-0.007120026508343091	-0.007130370281416276
He	2	0.9948934147682017	0.9952955582278111	0.9393377720205164	0.9419181847798119	-0.008685487566628458	-0.008069506083244193
Cramer	1	0.995296575573199	0.994476471690419	0.9444284461845485	0.9463325404799353	-0.003594813402596375	-0.0036551503831208088
Mortazavi	1	0.9957189424098343	0.995408711697428	0.9441145028464734	0.9461943830169616	-0.003908756740671482	-0.0037933078460945513
Jaffrey	1	0.9965244984162187	0.9962433483606677	0.9426752779889297	0.9445655222776783	-0.005347981598215146	-0.005422168585377807
Zimmer	1	0.9980767767612482	0.9981663409882854	0.9436064815929259	0.9458521779440561	-0.004416777994218912	-0.004135512919000051
Simon	2	0.9981256079682359	0.9981629547891377	0.9383658770393677	0.9408063508181869	-0.009657382547777149	-0.009181340044869257
Darnell	1	0.9992941407177972	0.9993021476367502	0.9440752498362912	0.9461559092761086	-0.003948009750853632	-0.0038317815869475247
Akimitsu2	1	0.9993113590136887	0.999257920412093	0.9441741314724901	0.9460891861600679	-0.003849128114654765	-0.003898504702988248
Marks	1	0.9994134569902787	0.9994091401028752	0.9446269986752615	0.9466577586032267	-0.0033962609118833864	-0.003329932259829471
Cramer2	1	0.9997463770826013	0.9997836023742632	0.9474162355225629	0.9492436168925249	-0.0006070240645819069	-0.0007440739705312227
