study	n_samples_removed	stability_n	pc1_stability_pearson	pc1_stability_spearman	saluki_common_n	saluki_full_pearson	saluki_candidate_pearson	delta_saluki_pearson	ortholog_common_n	ortholog_full_pearson	ortholog_candidate_pearson	delta_ortholog_pearson	replicate	removed_samples
random_0001	15	15523	0.9386519410594547	0.9347109132876885	13921	0.9480232595871448	0.8347008120779621	-0.11332244750918274	12708	0.7384630814833562	0.6630952611029286	-0.07536782038042755	1	Akimitsu_BrU_HeLa_1;Bazzini_ActD_HEK293_1;Cramer_4sU_K562_1;Darnell_ActD_HepG2_1;Dieterich_4sU_HEK293_2;He_ActD_HeLa_1;Jaffrey_ActD_HEK293_1;Marks_ActD_HeLa_1;Oberdoerffer_BrU_HeLa_1;Rinn_ActD_K562_1;Rinn_ActD_K562_3;Rissland2_Aman_HEK293_1;Rissland_4sU_HEK293_2;Shendure_4sU_A549_1;Simon_4sU_K562_1
random_0002	15	15470	0.9450950588859321	0.9453121000844799	13921	0.9480232595871448	0.856152336455101	-0.09187092313204381	12745	0.7347475012901722	0.6730269886134413	-0.06172051267673084	2	Bazzini_ActD_RPE_1;Cramer_4sU_K562_1;Dieterich_4sU_MCF7_1;He_ActD_HeLa_2;Rinn_ActD_H1ESC_1;Rinn_ActD_H1ESC_2;Rinn_ActD_K562_3;Rissland2_4sU_HEK293_2;Rissland2_ActD_HEK293_1;Rissland2_ActD_HEK293_2;Rissland2_Aman_HEK293_2;Rissland_4sU_HEK293_2;Simon_4sU_K562_1;Simon_4sU_K562_2;Zimmer_ActD_Bcell_1
random_0003	15	15782	0.9298742042813418	0.930910281153893	13921	0.9480232595871448	0.8459412084309832	-0.10208205115616165	12805	0.7356524294512184	0.6706288533233876	-0.06502357612783083	3	Akimitsu2_BrU4sU_HeLa_1;Cramer_4sU_K562_1;Dieterich_4sU_HEK293_1;Dieterich_4sU_MCF7_1;Jaffrey_ActD_HEK293_1;Mortazavi_4sU_GM12878_1;Oberdoerffer_BrU_HeLa_1;Rinn_ActD_K562_1;Rinn_ActD_K562_2;Rinn_ActD_K562_3;Rissland2_4sU_HEK293_2;Rissland2_Aman_HEK293_1;Rissland_4sU_HEK293_1;Simon_4sU_K562_1;Simon_4sU_K562_2
random_0004	15	15516	0.9465731478707111	0.9471317192799225	13921	0.9480232595871448	0.8559438017083019	-0.09207945787884297	12681	0.7361056307496169	0.6794852259292267	-0.05662040482039021	4	Akimitsu2_BrU4sU_HeLa_1;Akimitsu_BrU_HeLa_1;Bazzini_ActD_HeLa_1;Bazzini_ActD_RPE_1;Cramer_4sU_K562_1;He_ActD_HeLa_1;Jaffrey_ActD_HEK293_1;Marks_ActD_HeLa_1;Mortazavi_4sU_GM12878_1;Rinn_ActD_H1ESC_2;Rinn_ActD_H1ESC_3;Rissland2_Aman_HEK293_2;Rissland_4sU_HEK293_1;Rissland_4sU_HEK293_4;Zimmer_ActD_Bcell_1
random_0005	15	15637	0.9421472339519541	0.942467836724818	13921	0.9480232595871448	0.8470453956370959	-0.10097786395004893	12738	0.7354529463956866	0.6640495967064021	-0.07140334968928452	5	Bazzini_ActD_HeLa_1;Cramer2_4sU_K562_1;Dieterich_4sU_MCF7_1;He_ActD_HeLa_1;Rinn_ActD_H1ESC_1;Rinn_ActD_H1ESC_2;Rinn_ActD_H1ESC_3;Rinn_ActD_K562_1;Rinn_ActD_K562_3;Rissland2_4sU_HEK293_1;Rissland2_ActD_HEK293_2;Rissland_4sU_HEK293_1;Rissland_4sU_HEK293_2;Simon_4sU_K562_1;Zimmer_ActD_Bcell_1
random_0006	15	15784	0.9483608592977693	0.9491892052967619	13921	0.9480232595871448	0.8815378015713567	-0.06648545801578809	12773	0.7356264339322155	0.6878987597106065	-0.04772767422160895	6	Cramer2_4sU_K562_1;Dieterich_4sU_HEK293_2;Dieterich_4sU_MCF7_1;He_ActD_HeLa_1;Marks_ActD_HeLa_1;Oberdoerffer_BrU_HeLa_1;Rinn_ActD_H1ESC_1;Rinn_ActD_K562_1;Rissland2_4sU_HEK293_2;Rissland2_ActD_HEK293_1;Rissland_4sU_HEK293_1;Rissland_4sU_HEK293_2;Shendure_4sU_A549_1;Simon_4sU_K562_1;Zimmer_ActD_Bcell_1
random_0007	15	15548	0.9474125679269759	0.9484944816034258	13921	0.9480232595871448	0.8559281736191402	-0.09209508596800464	12690	0.7371366604653508	0.6708580827834669	-0.06627857768188383	7	Bazzini_4sU_K562_1;Bazzini_ActD_RPE_1;Cramer2_4sU_K562_1;Dieterich_4sU_HEK293_1;Dieterich_4sU_MCF7_2;Jaffrey_ActD_HEK293_1;Marks_ActD_HeLa_1;Oberdoerffer_BrU_HeLa_1;Rinn_ActD_H1ESC_1;Rinn_ActD_H1ESC_3;Rinn_ActD_K562_2;Rinn_ActD_K562_3;Rissland2_Aman_HEK293_2;Simon_4sU_K562_2;Zimmer_ActD_Bcell_1
random_0008	15	15366	0.9409053999805747	0.9397944473152364	13916	0.9480338254606432	0.8428118424512812	-0.10522198300936203	12645	0.7378164064786115	0.6723162786019767	-0.06550012787663473	8	Akimitsu_BrU_HeLa_1;Bazzini_4sU_K562_1;Bazzini_ActD_HEK293_1;Bazzini_ActD_HeLa_1;Mortazavi_4sU_GM12878_1;Oberdoerffer_BrU_HeLa_1;Rinn_ActD_K562_1;Rinn_ActD_K562_3;Rissland2_ActD_HEK293_1;Rissland2_ActD_HEK293_2;Rissland_4sU_HEK293_1;Rissland_4sU_HEK293_2;Rissland_4sU_HEK293_4;Shendure_4sU_A549_1;Zimmer_ActD_Bcell_1
random_0009	15	15292	0.9439322248222876	0.9440745265789537	13921	0.9480232595871448	0.8568376142810321	-0.09118564530611273	12612	0.73829744913719	0.67900543739447	-0.05929201174272003	9	Bazzini_ActD_HEK293_1;Bazzini_ActD_RPE_1;Darnell_ActD_HepG2_1;Dieterich_4sU_HEK293_2;Dieterich_4sU_MCF7_1;He_ActD_HeLa_1;Jaffrey_ActD_HEK293_1;Rinn_ActD_H1ESC_1;Rinn_ActD_H1ESC_3;Rinn_ActD_K562_1;Rinn_ActD_K562_3;Rissland2_4sU_HEK293_2;Rissland2_ActD_HEK293_2;Rissland_4sU_HEK293_1;Shendure_4sU_A549_1
random_0010	15	15738	0.9461114442561325	0.9459879966316007	13921	0.9480232595871448	0.8657288273469378	-0.08229443224020705	12819	0.7353864050317882	0.6765394304610934	-0.058846974570694766	10	Akimitsu2_BrU4sU_HeLa_1;Bazzini_4sU_K562_1;Bazzini_ActD_HeLa_1;Bazzini_ActD_RPE_1;Dieterich_4sU_HEK293_1;Dieterich_4sU_MCF7_1;Dieterich_4sU_MCF7_2;Mortazavi_4sU_GM12878_1;Oberdoerffer_BrU_HeLa_1;Rinn_ActD_K562_1;Rinn_ActD_K562_3;Rissland2_4sU_HEK293_1;Rissland_4sU_HEK293_1;Rissland_4sU_HEK293_3;Simon_4sU_K562_1
