min_observed_per_gene	pca_imputation_rank	imputation_method	universe_mode	n_full_genes	worst_left_out	gejman_rank	gejman_stability_pearson	gejman_delta_saluki_pearson	gejman_delta_ortholog_pearson
3	5	iterative_pca	dynamic	16444	Gejman	1	0.9550487491223754	0.03142206001630676	0.014664389752031104
3	5	iterative_pca	fixed	14244	Gejman	1	0.9527219229359136	0.03193367565788374	0.015349691872791116
5	5	iterative_pca	dynamic	15400	Gejman	1	0.9554079815007366	0.030793813913435386	0.013869461074558442
5	5	iterative_pca	fixed	13222	Gejman	1	0.9554268934477853	0.03096563516402684	0.015112338107090006
10	5	iterative_pca	dynamic	13921	Gejman	1	0.9582496687527938	0.02965174942310156	0.01533381951324575
10	5	iterative_pca	fixed	11397	Gejman	1	0.9588482501274102	0.033074824641645795	0.018901317040890486
3	3	iterative_pca	dynamic	16444	Gejman	1	0.9756935561906297	0.019888291177640904	0.001344387700384142
3	3	iterative_pca	fixed	14244	Gejman	1	0.9720408683079821	0.02308382713768098	0.00376287634031669
3	10	iterative_pca	dynamic	16444	Gejman	1	0.9433510740822331	0.041334521050218065	0.030153606793634102
3	10	iterative_pca	fixed	14244	Gejman	1	0.9425998237751069	0.04061908476131726	0.030030154663861053
3	5	sample_median	dynamic	16444	Gejman	1	0.872369336280683	0.12037628453234395	0.08642137596818067
3	5	sample_median	fixed	14244	Gejman	1	0.8736695798642761	0.11941398942065029	0.08641809942961243
