study	n_samples_removed	stability_n	pc1_stability_pearson	pc1_stability_spearman	saluki_common_n	saluki_full_pearson	saluki_candidate_pearson	delta_saluki_pearson	ortholog_common_n	ortholog_full_pearson	ortholog_candidate_pearson	delta_ortholog_pearson	universe_mode
Gejman	15	15788	0.9550487491223754	0.9568225443613033	13265	0.9515212418623878	0.9829433018786946	0.03142206001630676	12592	0.7406205595071677	0.7552849492591988	0.014664389752031104	dynamic
Rinn	6	15910	0.9730059914698808	0.9733373038230504	13921	0.9480232595871448	0.9114048613214213	-0.03661839826572355	12801	0.7344585632145616	0.710822723322341	-0.023635839892220623	dynamic
Dieterich	4	16404	0.9742266031848651	0.9772656496458484	13921	0.9480232595871448	0.9377240226855574	-0.010299236901587405	12995	0.732240290807241	0.7248242617983264	-0.007416029008914582	dynamic
Rissland2	6	15920	0.9752145314282962	0.9756010268053664	13921	0.9480232595871448	0.9198841156684547	-0.0281391439186901	12896	0.7331902760073464	0.7125413574447246	-0.020648918562621854	dynamic
Bazzini	4	16071	0.9875738182696859	0.9862416509811158	13921	0.9480232595871448	0.9292504169578016	-0.0187728426293432	12936	0.7327384480400759	0.7245848905196169	-0.008153557520458987	dynamic
Rissland	4	16394	0.9880255454605867	0.9883182594101358	13921	0.9480232595871448	0.9296265840046858	-0.018396675582459054	12995	0.7316891000248525	0.7208717851907428	-0.010817314834109748	dynamic
Oberdoerffer	1	16376	0.9920246805116522	0.9914843517831757	13921	0.9480232595871448	0.9439403244196652	-0.0040829351674795955	12978	0.7321244716527517	0.7283975407484974	-0.0037269309042543552	dynamic
Akimitsu	1	16395	0.9921366977094138	0.9914055484744221	13921	0.9480232595871448	0.9420517350414852	-0.005971524545659634	12988	0.7317904619618645	0.7287227897864292	-0.003067672175435243	dynamic
Shendure	1	16290	0.99413503679416	0.9931752890805005	13921	0.9480232595871448	0.9409032330788017	-0.007120026508343091	12978	0.7324157930213324	0.7272472320432163	-0.005168560978116132	dynamic
He	2	16375	0.9948934147682017	0.9952955582278111	13921	0.9480232595871448	0.9393377720205164	-0.008685487566628458	13006	0.7315622579118402	0.7257361788286918	-0.005826079083148361	dynamic
Cramer	1	16393	0.995296575573199	0.994476471690419	13921	0.9480232595871448	0.9444284461845485	-0.003594813402596375	13013	0.7314941055135493	0.7324509115176591	0.0009568060041097448	dynamic
Mortazavi	1	16397	0.9957189424098343	0.995408711697428	13921	0.9480232595871448	0.9441145028464734	-0.003908756740671482	13004	0.7318980325724349	0.7300426454358819	-0.0018553871365529773	dynamic
Jaffrey	1	16348	0.9965244984162187	0.9962433483606677	13921	0.9480232595871448	0.9426752779889297	-0.005347981598215146	12986	0.732182689157231	0.7299226528176795	-0.002260036339551408	dynamic
Zimmer	1	16432	0.9980767767612482	0.9981663409882854	13921	0.9480232595871448	0.9436064815929259	-0.004416777994218912	13013	0.7314342476362048	0.7301655226514042	-0.0012687249848005733	dynamic
Simon	2	16421	0.9981256079682359	0.9981629547891377	13921	0.9480232595871448	0.9383658770393677	-0.009657382547777149	13017	0.7313764205106118	0.7249540606952793	-0.006422359815332457	dynamic
Darnell	1	16432	0.9992941407177972	0.9993021476367502	13921	0.9480232595871448	0.9440752498362912	-0.003948009750853632	13008	0.7317871646332815	0.7289189004199692	-0.0028682642133123215	dynamic
Akimitsu2	1	16436	0.9993113590136887	0.999257920412093	13921	0.9480232595871448	0.9441741314724901	-0.003849128114654765	13012	0.7314072147596282	0.729441908309003	-0.001965306450625204	dynamic
Marks	1	16434	0.9994134569902787	0.9994091401028752	13921	0.9480232595871448	0.9446269986752615	-0.0033962609118833864	13013	0.7314375851084487	0.7285322214746593	-0.0029053636337893485	dynamic
Cramer2	1	16432	0.9997463770826013	0.9997836023742632	13921	0.9480232595871448	0.9474162355225629	-0.0006070240645819069	13014	0.7313769448220948	0.7306224137548717	-0.0007545310672231187	dynamic
