study	n_samples_removed	stability_n	pc1_stability_pearson	pc1_stability_spearman	saluki_common_n	saluki_full_pearson	saluki_candidate_pearson	delta_saluki_pearson	ortholog_common_n	ortholog_full_pearson	ortholog_candidate_pearson	delta_ortholog_pearson	universe_mode
Gejman	15	14244	0.9527219229359136	0.9543258738121807	13265	0.9512147412930255	0.9831484169509093	0.03193367565788374	12131	0.7478288334359887	0.7631785253087798	0.015349691872791116	fixed
Rinn	6	14244	0.9740815535458826	0.9747718024334018	13265	0.9512147412930255	0.9107892973362521	-0.04042544395677339	12131	0.7478288334359887	0.7211717402431194	-0.026657093192869352	fixed
Rissland2	6	14244	0.9778291552362945	0.9762585261714378	13265	0.9512147412930255	0.9217542395636682	-0.029460501729357325	12131	0.7478288334359887	0.7253593014729481	-0.02246953196304058	fixed
Dieterich	4	14244	0.9814467862675851	0.9828452205968323	13265	0.9512147412930255	0.9409355286258748	-0.010279212667150706	12131	0.7478288334359887	0.73858796754029	-0.009240865895698724	fixed
Bazzini	4	14244	0.9885812647017311	0.9878654972031986	13265	0.9512147412930255	0.9339209368494167	-0.01729380444360884	12131	0.7478288334359887	0.7394862518069724	-0.008342581629016355	fixed
Rissland	4	14244	0.9886197453813655	0.9888495868921315	13265	0.9512147412930255	0.9327194228179329	-0.01849531847509267	12131	0.7478288334359887	0.7362495733512552	-0.011579260084733534	fixed
Akimitsu	1	14244	0.9907013261231714	0.9903663748551148	13265	0.9512147412930255	0.9455501517861663	-0.005664589506859219	12131	0.7478288334359887	0.7451524905732357	-0.0026763428627529784	fixed
Oberdoerffer	1	14244	0.9913676873773906	0.9910229012906625	13265	0.9512147412930255	0.9480606443735867	-0.003154096919438798	12131	0.7478288334359887	0.744956368182672	-0.002872465253316747	fixed
Shendure	1	14244	0.9935280023126131	0.9929271214401892	13265	0.9512147412930255	0.9447041017549875	-0.006510639538037988	12131	0.7478288334359887	0.7429637689142286	-0.004865064521760165	fixed
He	2	14244	0.9945658662996032	0.9950227106136263	13265	0.9512147412930255	0.9428168364526929	-0.008397904840332648	12131	0.7478288334359887	0.7422461288563943	-0.005582704579594422	fixed
Jaffrey	1	14244	0.9957004524068942	0.9954267869870091	13265	0.9512147412930255	0.9461974523584955	-0.0050172889345300176	12131	0.7478288334359887	0.7456229620930168	-0.002205871342971899	fixed
Mortazavi	1	14244	0.9961249958435527	0.9958818796295825	13265	0.9512147412930255	0.9484555534040953	-0.002759187888930259	12131	0.7478288334359887	0.7460782633018557	-0.0017505701341330449	fixed
Cramer	1	14244	0.9961368309248402	0.9955161623751363	13265	0.9512147412930255	0.9478944789548758	-0.0033202623381497487	12131	0.7478288334359887	0.7488072837177369	0.0009784502817481444	fixed
Simon	2	14244	0.9982586143254486	0.9983009040005009	13265	0.9512147412930255	0.9418908476495762	-0.009323893643449321	12131	0.7478288334359887	0.7417130888787594	-0.006115744557229297	fixed
Zimmer	1	14244	0.9985726454476659	0.9986310724240606	13265	0.9512147412930255	0.9479685412612531	-0.0032462000317724504	12131	0.7478288334359887	0.7464062767229691	-0.001422556713019607	fixed
Akimitsu2	1	14244	0.9993648040333594	0.9992993519116845	13265	0.9512147412930255	0.9471255295314048	-0.0040892117616206924	12131	0.7478288334359887	0.745658119813381	-0.0021707136226076784	fixed
Darnell	1	14244	0.9994531339524357	0.9995000470785053	13265	0.9512147412930255	0.94755261629276	-0.003662125000265526	12131	0.7478288334359887	0.7450033004367839	-0.0028255329992048495	fixed
Marks	1	14244	0.9994767550731866	0.9994890416422423	13265	0.9512147412930255	0.9478903585683566	-0.0033243827246689506	12131	0.7478288334359887	0.7450321938515038	-0.00279663958448495	fixed
Cramer2	1	14244	0.9997458057243609	0.9997776502086188	13265	0.9512147412930255	0.9508104878005742	-0.000404253492451323	12131	0.7478288334359887	0.7472231289525402	-0.0006057044834485437	fixed
