comparison_type	cohort	left	right	n	pearson	spearman	mse	rmse	mae	median_abs_error	p90_abs_error	p95_abs_error	mean_signed_diff	sd_signed_diff
study_mean_label_pair	all	Akimitsu	Akimitsu2	3930	0.6946087026770531	0.7557332373243589	0.5640151393304415	0.7510094136097373	0.561400437234054	0.4394464185555611	1.166199881929927	1.5337796631207827	-0.06535891771733617	0.7481599770137798
study_mean_label_pair	all	Akimitsu	Bazzini	9176	-0.038760349679329675	-0.07377027941376697	1.7752655413959182	1.3323909116306363	1.039643010924073	0.8684058457376445	2.1303116279040952	2.5847359883505576	-0.024327954990509007	1.332168792609214
study_mean_label_pair	all	Akimitsu	Cramer	6935	0.5233090383958588	0.553239261637992	0.9501016163577698	0.9747315611786508	0.7524021180900011	0.6062918658999819	1.5782442066836162	1.9253829893470833	0.06259048767127409	0.9727199222853629
study_mean_label_pair	all	Akimitsu	Cramer2	4448	0.1645326417856605	0.1763466099741768	1.6016389311946813	1.2655587426882569	0.9636774327351403	0.7480256817109008	2.095424040398801	2.551691451947291	0.019319959635879656	1.2654112653024499
study_mean_label_pair	all	Akimitsu	Darnell	2768	0.4665286015315791	0.5211350760427214	1.1708168926177585	1.0820429254968393	0.8303393129953477	0.6768726107659069	1.6620874041559195	1.8633683684360869	0.31032770219248396	1.0365874829794595
study_mean_label_pair	all	Akimitsu	Dieterich	6281	0.6425100539099486	0.6744576327516438	0.7129970282923093	0.8443915136311527	0.6585542578262443	0.5343658501144696	1.382947952876743	1.6828681786559554	0.012126274451069933	0.8443044366579195
study_mean_label_pair	all	Akimitsu	Gejman	6704	0.38615096566094914	0.3948640901510164	1.2271310629743597	1.1077594788465408	0.8706164181200917	0.7216975105606946	1.7786337777223202	2.2051244090178193	0.04375764408988449	1.1068949053808408
study_mean_label_pair	all	Akimitsu	He	8086	0.5904780170994108	0.6373362967514095	0.815927724551365	0.9032871772317843	0.6397652628685919	0.46246127941280646	1.3902067218696796	1.8521582839448274	0.008993379574027651	0.9032424058220496
study_mean_label_pair	all	Akimitsu	Jaffrey	3004	0.3243424184593401	0.3877415999269121	1.4253461826322875	1.193878629774521	0.9621898308753661	0.8267186131904982	2.016428818444852	2.2735653113131757	-0.7077975516306402	0.9614410062702533
study_mean_label_pair	all	Akimitsu	Marks	6126	0.5325983352199768	0.5853939537292225	0.9571031139993337	0.9783164692467022	0.7696869066992637	0.6407824612649804	1.5717268436649423	1.8236372749545038	0.14544981552115038	0.9674437788131152
study_mean_label_pair	all	Akimitsu	Mortazavi	6964	0.6018578819563164	0.6115892442026041	0.8019444945699202	0.8955135367876469	0.6795303721332459	0.5240800074071943	1.4433611034934686	1.7831193027981562	0.05090804300230723	0.8940653587560571
study_mean_label_pair	all	Akimitsu	Oberdoerffer	8081	0.7753432063556077	0.7588361110725266	0.44466017952658243	0.6668284483482858	0.4781634211042317	0.3553529832479696	0.9965364032743683	1.3118576598357956	-0.0819126056157299	0.6617782895863431
study_mean_label_pair	all	Akimitsu	Rinn	8219	0.6507028810877111	0.6511530804560328	0.6796222006705934	0.8243920188057339	0.6313378113255322	0.5070374579031424	1.3222046843161055	1.6585591207906376	-0.06411889990677068	0.8218947422543457
study_mean_label_pair	all	Akimitsu	Rissland	8417	0.5297193607993238	0.5061132617767664	0.9161979589470989	0.9571823018354961	0.7138414205251239	0.5414581589203529	1.5513495065195821	1.9290102481539233	-0.07959992576518668	0.9538667678272893
study_mean_label_pair	all	Akimitsu	Rissland2	8877	0.6311947479384813	0.6325908349526916	0.7336167056718688	0.8565142763969955	0.6511028284014255	0.5163743382095649	1.3762622497380175	1.7195490948529972	-0.010556737982036109	0.8564492167986648
study_mean_label_pair	all	Akimitsu	Shendure	8644	0.7108704541235529	0.7309675180631726	0.577340598836578	0.759829322174775	0.5648025408474412	0.44171301655909234	1.1905180778787698	1.558637661666019	0.016606125308184953	0.7596478364603065
study_mean_label_pair	all	Akimitsu	Simon	4427	0.7838890004958224	0.7870867030400854	0.4092583590569289	0.6397330373342688	0.48628826443501505	0.3910484012249844	1.0372145937682407	1.2944363359273894	-0.0038759971466547027	0.6397212953334038
study_mean_label_pair	all	Akimitsu	Zimmer	5356	0.526001033319045	0.5458802588954376	0.9711061859812938	0.9854472010114463	0.785327073753373	0.666790604497734	1.6418887710986962	1.9765272263857194	0.11556520134283578	0.9786474698377776
study_mean_label_pair	all	Akimitsu2	Bazzini	4132	0.037388384868065755	0.012739903581532437	1.5958327936228613	1.2632627571581698	0.955990405532082	0.765532815724659	1.9871750359884806	2.4770297655633526	-0.03889484623870107	1.262663844639154
study_mean_label_pair	all	Akimitsu2	Cramer	3304	0.5302671662377155	0.5630300421945257	0.8774094323088093	0.9367013570550697	0.7190240012614987	0.5857627013823835	1.5030932051284338	1.8860582033611306	0.13090683655266475	0.92750893928446
study_mean_label_pair	all	Akimitsu2	Cramer2	2083	0.1384219195087099	0.17587671335242858	1.6975614796656568	1.3029050155961703	0.9979007688945376	0.7942771751217745	2.056855881965738	2.6042817898831467	-0.05542140900230551	1.3017257572506797
study_mean_label_pair	all	Akimitsu2	Darnell	1248	0.47890685850216347	0.4675408573262781	0.964300466591252	0.9819880175395482	0.7228490679961592	0.5889610645092347	1.3905592919181453	1.8280525844504392	0.25306125515073613	0.948820566668317
study_mean_label_pair	all	Akimitsu2	Dieterich	2796	0.6116883445037842	0.629302129644443	0.7640390586035296	0.8740932779764009	0.6655112544623862	0.529447575210802	1.3610554063548126	1.6755928052861075	0.07851239830812669	0.8705600851839215
study_mean_label_pair	all	Akimitsu2	Gejman	3041	0.2899331425241928	0.3401690636460023	1.4463319997357764	1.2026354392482272	0.9142445795410067	0.7125695525866527	1.9696802033264735	2.4633316441691715	0.1559250244896838	1.192484543494659
study_mean_label_pair	all	Akimitsu2	He	3696	0.5438668738137536	0.6239213717637483	0.8514039332465562	0.9227155212992552	0.6866003437292593	0.5363787521346435	1.3990989530359976	1.8819709051911766	0.07635395460684269	0.9195509811111362
study_mean_label_pair	all	Akimitsu2	Jaffrey	1420	0.2876268051625077	0.32102400591700464	1.6479338539261297	1.2837187596690054	0.9958322392914485	0.8074151965564927	2.008327836960664	2.5558075558779265	-0.7096392165944868	1.0697411070896041
