comparison_type	cohort	left	right	n	pearson	spearman	mse	rmse	mae	median_abs_error	p90_abs_error	p95_abs_error	mean_signed_diff	sd_signed_diff
study_residual_pair	all	Akimitsu	Akimitsu2	3930	0.33505531994481225	0.35645571430046336	0.5640151393304415	0.7510094136097373	0.561400437234054	0.4394464185555611	1.166199881929927	1.5337796631207827	-0.06535891771733617	0.7481599770137798
study_residual_pair	all	Akimitsu	Bazzini	9176	0.2293388218430639	0.16451255489170313	1.7752655413959182	1.3323909116306363	1.039643010924073	0.8684058457376445	2.1303116279040952	2.5847359883505576	-0.024327954990509014	1.332168792609214
study_residual_pair	all	Akimitsu	Cramer	6935	0.07268682131259045	0.07331978648911465	0.9501016163577698	0.9747315611786508	0.7524021180900011	0.6062918658999819	1.5782442066836162	1.9253829893470833	0.06259048767127406	0.9727199222853627
study_residual_pair	all	Akimitsu	Cramer2	4448	0.1431452667797423	0.11928001310373602	1.6016389311946815	1.2655587426882569	0.9636774327351403	0.7480256817109008	2.095424040398801	2.551691451947291	0.019319959635879656	1.2654112653024499
study_residual_pair	all	Akimitsu	Darnell	2768	-0.03554528298062759	-0.0484638024905555	1.1708168926177585	1.0820429254968393	0.8303393129953477	0.6768726107659069	1.6620874041559195	1.8633683684360869	0.31032770219248396	1.0365874829794595
study_residual_pair	all	Akimitsu	Dieterich	6281	0.10039864861608248	0.05758904360158537	0.7129970282923093	0.8443915136311527	0.6585542578262443	0.5343658501144696	1.382947952876743	1.6828681786559554	0.012126274451069933	0.8443044366579195
study_residual_pair	all	Akimitsu	Gejman	6704	0.20157710691240152	0.19097256145163888	1.2271310629743597	1.1077594788465408	0.8706164181200917	0.7216975105606946	1.7786337777223202	2.2051244090178193	0.04375764408988448	1.1068949053808408
study_residual_pair	all	Akimitsu	He	8086	0.07619127579552093	0.10315755090563089	0.815927724551365	0.9032871772317843	0.6397652628685919	0.46246127941280646	1.3902067218696796	1.8521582839448276	0.008993379574027653	0.9032424058220496
study_residual_pair	all	Akimitsu	Jaffrey	3004	-0.0024326330134754053	-0.08274519226660686	1.4253461826322875	1.193878629774521	0.9621898308753661	0.8267186131904982	2.0164288184448522	2.2735653113131753	-0.7077975516306402	0.9614410062702532
study_residual_pair	all	Akimitsu	Marks	6126	-0.01388161593583275	-0.04267024281784037	0.9571031139993337	0.9783164692467022	0.7696869066992637	0.6407824612649805	1.5717268436649423	1.8236372749545038	0.1454498155211504	0.9674437788131152
study_residual_pair	all	Akimitsu	Mortazavi	6964	0.1324567074473037	0.14967865648268544	0.8019444945699203	0.895513536787647	0.6795303721332459	0.5240800074071943	1.4433611034934686	1.7831193027981562	0.05090804300230723	0.8940653587560571
study_residual_pair	all	Akimitsu	Oberdoerffer	8081	0.5189560972103063	0.5576728295635569	0.44466017952658243	0.6668284483482858	0.4781634211042317	0.3553529832479696	0.9965364032743684	1.3118576598357956	-0.08191260561572991	0.661778289586343
study_residual_pair	all	Akimitsu	Rinn	8219	-0.19356658725965595	-0.19332182475194515	0.6796222006705933	0.8243920188057338	0.6313378113255322	0.5070374579031424	1.3222046843161055	1.6585591207906376	-0.06411889990677068	0.8218947422543456
study_residual_pair	all	Akimitsu	Rissland	8417	0.18350847853512228	0.1949978277689975	0.9161979589470988	0.9571823018354961	0.7138414205251239	0.5414581589203529	1.5513495065195821	1.9290102481539233	-0.07959992576518668	0.9538667678272893
study_residual_pair	all	Akimitsu	Rissland2	8877	-0.021803440254059118	-0.012363898200851795	0.7336167056718688	0.8565142763969955	0.6511028284014255	0.5163743382095649	1.3762622497380175	1.7195490948529972	-0.01055673798203611	0.8564492167986648
study_residual_pair	all	Akimitsu	Shendure	8644	0.3060115354205656	0.322061798433208	0.577340598836578	0.759829322174775	0.5648025408474412	0.44171301655909234	1.1905180778787698	1.558637661666019	0.01660612530818496	0.7596478364603065
study_residual_pair	all	Akimitsu	Simon	4427	0.28306249327182864	0.269162672918868	0.4092583590569289	0.6397330373342688	0.486288264435015	0.3910484012249844	1.0372145937682409	1.2944363359273892	-0.003875997146654702	0.6397212953334037
study_residual_pair	all	Akimitsu	Zimmer	5356	-0.022323417189153264	-0.04136718449478421	0.9711061859812938	0.9854472010114463	0.785327073753373	0.666790604497734	1.6418887710986965	1.9765272263857194	0.11556520134283581	0.9786474698377777
study_residual_pair	all	Akimitsu2	Bazzini	4132	0.282171548500321	0.3275516032985499	1.5958327936228611	1.2632627571581698	0.955990405532082	0.765532815724659	1.9871750359884806	2.4770297655633526	-0.03889484623870107	1.262663844639154
study_residual_pair	all	Akimitsu2	Cramer	3304	0.15374910538415906	0.18313766220506372	0.8774094323088093	0.9367013570550697	0.7190240012614987	0.5857627013823835	1.5030932051284338	1.8860582033611306	0.13090683655266475	0.92750893928446
study_residual_pair	all	Akimitsu2	Cramer2	2083	0.13115436257446852	0.15133044573098053	1.6975614796656568	1.3029050155961703	0.9979007688945376	0.7942771751217745	2.056855881965738	2.6042817898831463	-0.05542140900230551	1.3017257572506797
study_residual_pair	all	Akimitsu2	Darnell	1248	0.1512195561457854	0.22289135361092524	0.964300466591252	0.9819880175395482	0.7228490679961592	0.5889610645092347	1.3905592919181453	1.8280525844504392	0.2530612551507361	0.948820566668317
study_residual_pair	all	Akimitsu2	Dieterich	2796	0.053185748297504304	0.05742885991932289	0.7640390586035297	0.8740932779764009	0.6655112544623862	0.529447575210802	1.3610554063548126	1.6755928052861075	0.07851239830812669	0.8705600851839215
study_residual_pair	all	Akimitsu2	Gejman	3041	0.12367730319333331	0.16508390741939127	1.4463319997357764	1.2026354392482272	0.9142445795410067	0.7125695525866526	1.9696802033264738	2.4633316441691715	0.1559250244896838	1.192484543494659
study_residual_pair	all	Akimitsu2	He	3696	-0.03653399097080857	-0.019588846512150083	0.8514039332465562	0.9227155212992552	0.6866003437292593	0.5363787521346435	1.3990989530359976	1.8819709051911764	0.07635395460684269	0.9195509811111362
study_residual_pair	all	Akimitsu2	Jaffrey	1420	-0.09019230792557091	-0.10243408607740552	1.6479338539261297	1.2837187596690054	0.9958322392914485	0.8074151965564927	2.0083278369606634	2.555807555877927	-0.7096392165944868	1.0697411070896041
study_residual_pair	all	Akimitsu2	Marks	2850	0.13297212681679094	0.1552843781594543	0.8311012573405472	0.9116475510527888	0.6918255071961212	0.5439511859885615	1.4420822424266453	1.8335013102265203	0.20172217146455296	0.8890497302626957
study_residual_pair	all	Akimitsu2	Mortazavi	3305	0.048688480710053945	0.1283155193218991	0.9406741830670642	0.9698835925342093	0.7395731192691188	0.5997363288439145	1.5138969170381125	1.8746058370346588	0.1579973427120284	0.9569279088640903
study_residual_pair	all	Akimitsu2	Oberdoerffer	3706	0.215571123943762	0.272173398584799	0.7147327221136175	0.8454186667643538	0.6421124406952494	0.5228478538609144	1.279393371340695	1.6452773916406278	0.04119863071563839	0.8444142318440488
study_residual_pair	all	Akimitsu2	Rinn	3808	-0.14643766488218954	-0.1399585968832083	0.7038047095073356	0.8389306941025197	0.6391153024683738	0.5222697489434064	1.2585575133520681	1.6517112612466913	0.03278297546141898	0.8382899176461738
study_residual_pair	all	Akimitsu2	Rissland	3826	0.2487716663165568	0.2627302406417319	0.8481402097021327	0.9209452805146094	0.702421231694411	0.5625363325888965	1.4965930944695411	1.820815904508006	-0.059449453919618096	0.919024467645335
study_residual_pair	all	Akimitsu2	Rissland2	4003	-0.2134819661601581	-0.17130611917018368	0.853560278113771	0.923883260003	0.7087868214117464	0.5910017056081676	1.3963910798527825	1.7384632829201778	0.10750823620598132	0.9176068097293357
study_residual_pair	all	Akimitsu2	Shendure	3948	0.3353436290404144	0.3736016479592683	0.5680808808739092	0.753711404235009	0.5693572350040177	0.4540788104988956	1.1894007429519418	1.496837176228149	0.055233136992981324	0.7516848950536551
study_residual_pair	all	Akimitsu2	Simon	2292	0.18926264567613846	0.19166202931785806	0.5327122775234233	0.7298714116359287	0.5588508163604056	0.4599161789722852	1.1067402391163061	1.41380731731263	0.0539028058971095	0.7278782625136166
study_residual_pair	all	Akimitsu2	Zimmer	2536	-0.03772518204297691	-0.029513941983362053	1.0588738716667878	1.0290159725032395	0.8075234517805057	0.67472709434055	1.6338990886896703	2.01259038625902	0.23568757128425624	1.0016612403447183
study_residual_pair	all	Bazzini	Cramer	7432	0.326232740651821	0.3715192456733689	1.5088805029477528	1.228364971393988	0.9125278376358669	0.6940594328297942	1.953271209307466	2.437015363591554	0.050078060560276215	1.2273437541285113
study_residual_pair	all	Bazzini	Cramer2	4819	0.4452103526281933	0.48805844208026183	1.5543238197981142	1.246725238293552	0.9176685282406519	0.6994651034129047	1.9653480162582955	2.497879533289836	-0.0032533575843845673	1.2467209934313874
study_residual_pair	all	Bazzini	Darnell	2921	0.20624605209707148	0.42464388595132807	1.6928037654035204	1.3010779244163357	0.8415201582294899	0.6068303139359277	1.6532631855926392	2.4070857446899563	-0.00852616198909037	1.301049987496738
study_residual_pair	all	Bazzini	Dieterich	7062	0.17188024539530125	0.19581580652088837	1.8165572060652349	1.34779716799867	1.0052832961289622	0.7876199463975453	2.0840513778120155	2.640851580487908	0.0018383495247289575	1.3477959142749532
study_residual_pair	all	Bazzini	Gejman	7331	0.36240114879866747	0.3705772617569208	1.8083354867388433	1.3447436509382906	1.0248036624274004	0.8256608524013132	2.1196687565308734	2.658015892463516	0.021424565538272378	1.3445729711437544
study_residual_pair	all	Bazzini	He	8672	0.24176424109550027	0.24340045478905958	1.7571439022554622	1.325573046744487	0.9913581049612151	0.7821422557362159	2.0936552844749965	2.6582653387652697	0.02934400193862192	1.3252482151678942
study_residual_pair	all	Bazzini	Jaffrey	3601	0.18536220416159374	0.14392241769886963	2.227975676022096	1.4926405046165991	1.1368588064603828	0.9188879238096853	2.3418968968654683	2.951878887497426	-0.136069604943884	1.486425490440913
study_residual_pair	all	Bazzini	Marks	6419	0.1927513872291312	0.3033612207334787	1.665526614706413	1.2905528329775628	0.905394980621157	0.6779215356884478	1.843988924419898	2.587229609471171	0.019667956071524398	1.2904029549758391
study_residual_pair	all	Bazzini	Mortazavi	7495	0.30170113629702466	0.3092392946255181	1.5767408006307497	1.2556833998388088	0.9313777190906645	0.6934174106907243	2.084348213998802	2.5798506914355306	0.05475292244374753	1.2544891064152812
study_residual_pair	all	Bazzini	Oberdoerffer	9036	0.14094025527876045	0.16437959885098505	1.8386557901981557	1.3559704237918155	0.9873818293746056	0.743066414836335	2.1407510346328973	2.792776879473037	0.011015791317232527	1.355925677365767
study_residual_pair	all	Bazzini	Rinn	9381	0.13198089125464169	0.16115560199264078	1.7150655601492206	1.3096051161129527	0.9641591173203887	0.7441397863550431	2.0692834196224297	2.630266810098279	0.011219024993697244	1.3095570600884114
study_residual_pair	all	Bazzini	Rissland	9639	0.3035574247895039	0.3396046339437469	1.71677630462996	1.3102581061111434	0.9555925959297477	0.7199354260061992	2.0419654862848313	2.6352614392814404	0.006328319892700693	1.310242823677083
study_residual_pair	all	Bazzini	Rissland2	10284	0.09932676283446193	0.1502410680335441	1.930616603607608	1.3894663017171767	1.0207099489330893	0.7786344137705885	2.22099024130958	2.8045012410168315	0.0018100440452199593	1.3894651227534167
study_residual_pair	all	Bazzini	Shendure	9648	0.15174496984539743	0.1558420618189124	1.6934485083120203	1.3013256734238436	1.004573155696552	0.8080734017882722	2.104604459634986	2.5858717443770343	0.010764378161796798	1.3012811519709384
study_residual_pair	all	Bazzini	Simon	4710	0.1992138974162541	0.15340292580706708	1.3191113288732947	1.1485257197265086	0.9108305924331517	0.7570747754663731	1.897829972777274	2.2827092285766497	0.034443853486030795	1.1480091244542983
study_residual_pair	all	Bazzini	Zimmer	5704	0.2449066999720721	0.26180429414028566	1.5177768264115084	1.2319808547260418	0.9314687359553151	0.7383396604373942	1.971034276779339	2.5018667897043554	0.04974915858096563	1.2309759736209294
study_residual_pair	all	Cramer	Cramer2	4059	0.27261656885040714	0.297362220259354	1.4476000738661092	1.2031625301122493	0.9092351664572514	0.7096841201296817	1.9282421879118836	2.38314094041146	0.026440551109930287	1.2028719678848265
study_residual_pair	all	Cramer	Darnell	2409	0.17163386277803455	0.2206363411300893	0.9370576306942572	0.9680173710705078	0.7041775019320585	0.5252378732249844	1.518438713525992	1.9320694904376365	0.15146856658104024	0.956093564475852
study_residual_pair	all	Cramer	Dieterich	5041	0.16512461196778916	0.17401390594068633	0.7756490359135458	0.8807093935649521	0.6826158661979663	0.559046781798943	1.4112452135049642	1.7410816395112774	-0.050932753928689	0.8792354010677604
study_residual_pair	all	Cramer	Gejman	5587	0.25495292580796636	0.2680242885707138	1.2558563300233596	1.1206499587397305	0.8746631307050349	0.7110446383928941	1.826383312228253	2.235705573837462	0.04256763243162189	1.1198412060165168
study_residual_pair	all	Cramer	He	6592	0.009016136767944749	-8.44377808173604e-05	1.0287532154279617	1.0142747238435756	0.756603127245322	0.5819085403178867	1.6090869760292703	2.0246622387143085	-0.0490686880651631	1.013087103500743
study_residual_pair	all	Cramer	Jaffrey	2237	-0.08053416746266205	-0.1276468949341674	1.7672212279237711	1.3293687328667585	1.0737311924815816	0.9297879862693064	2.1603355684913996	2.489277907270872	-0.7535866738324084	1.09513850856683
study_residual_pair	all	Cramer	Marks	5138	0.12566498122549483	0.14468363816983085	0.9186565379584288	0.9584657208050942	0.7296368793072234	0.5716872972655722	1.5441709060036666	1.9069995611573325	0.03476291190559667	0.9578350995418111
study_residual_pair	all	Cramer	Mortazavi	6186	0.19892810196656846	0.21751704920053863	0.8487977298618481	0.9213021924764144	0.7095037575301626	0.563269361987193	1.5212468077894485	1.8322654925043467	-0.021734666873980367	0.921045782856491
study_residual_pair	all	Cramer	Oberdoerffer	6522	0.041293039932084545	0.10047525800277944	1.0313625390967889	1.015560209488728	0.7468772624374685	0.5536403806644047	1.6366132264511064	2.1212160130069377	-0.08998307910971685	1.011565907180903
study_residual_pair	all	Cramer	Rinn	6878	-0.12608535083441771	-0.10832659301950077	0.825721197712047	0.9086920257777368	0.6976891310092211	0.5619380126402713	1.4634412670274657	1.8420808867047127	-0.10033513899154028	0.9031356806126054
study_residual_pair	all	Cramer	Rissland	6794	0.08089669254709068	0.1261926284833708	1.162667441911432	1.0782705791736285	0.8232956652750278	0.6518156907484978	1.7150968137114158	2.1563988796523943	-0.10789088981948573	1.0728592628138083
study_residual_pair	all	Cramer	Rissland2	7195	-0.013953763571767275	0.0277488112847711	0.8551429794545857	0.9247394116477278	0.698936518589559	0.5470669962470538	1.4638805528525065	1.8612610098557036	-0.024733797504196943	0.9244085778029147
