human_gene_id	mouse_gene_id	homology_type	homology_species	is_high_confidence	saluki_human_pc1	saluki_mouse_prior
ENSG00000000003	ENSMUSG00000067377	ortholog_one2one	homo_sapiens	1	8.66095460281751	5.65595234638647
ENSG00000000419	ENSMUSG00000078919	ortholog_one2one	homo_sapiens	1	2.24122111263875	0.690688099134489
ENSG00000000457	ENSMUSG00000026584	ortholog_one2one	homo_sapiens	1	-6.92917289890567	-5.06439062039366
ENSG00000000460	ENSMUSG00000041406	ortholog_one2one	homo_sapiens	1	0.440908608565664	-2.38079495882394
ENSG00000000938	ENSMUSG00000028874	ortholog_one2one	homo_sapiens	1	-0.94368014484995	1.77647574864583
ENSG00000001036	ENSMUSG00000019810	ortholog_one2one	homo_sapiens	1	8.30981072599099	6.20509656015266
ENSG00000001084	ENSMUSG00000032350	ortholog_one2one	homo_sapiens	1	-3.79295516265469	-4.86898191174262
ENSG00000001167	ENSMUSG00000023994	ortholog_one2one	homo_sapiens	1	-6.4981408274704	-6.72809926635403
ENSG00000001461	ENSMUSG00000028803	ortholog_one2one	homo_sapiens	1	0.290577323686184	-1.33100560751132
ENSG00000001497	ENSMUSG00000057421	ortholog_one2one	homo_sapiens	1	7.62737793851154	2.90089891416775
ENSG00000001561	ENSMUSG00000023961	ortholog_one2one	homo_sapiens	1	-0.286285629631509	-3.14841371262286
ENSG00000001617	ENSMUSG00000034684	ortholog_one2one	homo_sapiens	1	-0.010621487487757	2.96529319359862
ENSG00000001629	ENSMUSG00000040351	ortholog_one2one	homo_sapiens	1	-1.01750306857375	-1.66359745639145
ENSG00000001630	ENSMUSG00000001467	ortholog_one2one	homo_sapiens	1	2.2753531286541	-0.599444916338782
ENSG00000001631	ENSMUSG00000000600	ortholog_one2one	homo_sapiens	1	-0.885704849512103	-0.799741627786898
ENSG00000002016	ENSMUSG00000030166	ortholog_one2one	homo_sapiens	1	-4.63777819959463	-4.39903368277094
ENSG00000002330	ENSMUSG00000024959	ortholog_one2one	homo_sapiens	1	4.49180650408091	2.72456165737404
ENSG00000002549	ENSMUSG00000039682	ortholog_one2one	homo_sapiens	1	6.73573407224717	3.62883753823946
ENSG00000002745	ENSMUSG00000029671	ortholog_one2one	homo_sapiens	1	-4.57509219685031	0.792657124123842
ENSG00000002746	ENSMUSG00000021301	ortholog_one2one	homo_sapiens	1	-4.20168530720227	-2.13505050283142
ENSG00000002822	ENSMUSG00000029554	ortholog_one2one	homo_sapiens	1	-2.55579921547435	0.43981491986283
ENSG00000002834	ENSMUSG00000038366	ortholog_one2one	homo_sapiens	1	2.75299292937987	2.16880504293985
ENSG00000002919	ENSMUSG00000020876	ortholog_one2one	homo_sapiens	1	-2.69469523994065	-1.81199583576814
ENSG00000003056	ENSMUSG00000007458	ortholog_one2one	homo_sapiens	1	3.33250981810299	1.33438048955659
ENSG00000003096	ENSMUSG00000036782	ortholog_one2one	homo_sapiens	1	1.20669999134929	4.27448070223127
ENSG00000003137	ENSMUSG00000063415	ortholog_one2one	homo_sapiens	1	-3.16269028081692	-0.422783258349632
ENSG00000003147	ENSMUSG00000062995	ortholog_one2one	homo_sapiens	1	2.53851903752277	3.70629311298619
